┌─────────┬─────────────┬────────────────┬──────────┬────────┬────────┬────────┬─────────┬───────────┬─────────┬────────┐
│ (index) │ area        │ tier           │ hp       │ min    │ avg    │ max    │ rounds  │ survivors │ battles │ hours  │
├─────────┼─────────────┼────────────────┼──────────┼────────┼────────┼────────┼─────────┼───────────┼─────────┼────────┤
│ 0       │ 'SHINJUKU'  │ 'beginner'     │ 220000   │ 44859  │ 46256  │ 47182  │ '20-21' │ '0-0'     │ 5       │ '15.2' │
│ 1       │ 'SHINJUKU'  │ 'intermediate' │ 3900000  │ 417993 │ 442396 │ 461912 │ '30-30' │ '2-3'     │ 9       │ '15.1' │
│ 2       │ 'SHINJUKU'  │ 'advanced'     │ 10900000 │ 512935 │ 520042 │ 528849 │ '30-30' │ '4-4'     │ 21      │ '14.9' │
│ 3       │ 'SHINJUKU'  │ 'expert'       │ 25200000 │ 332392 │ 489537 │ 587791 │ '30-30' │ '1-3'     │ 52      │ '15.0' │
│ 4       │ 'SHIBUYA'   │ 'beginner'     │ 200000   │ 40881  │ 43247  │ 44431  │ '19-20' │ '0-0'     │ 5       │ '14.8' │
│ 5       │ 'SHIBUYA'   │ 'intermediate' │ 4300000  │ 466842 │ 486204 │ 523619 │ '30-30' │ '4-5'     │ 9       │ '15.2' │
│ 6       │ 'SHIBUYA'   │ 'advanced'     │ 12600000 │ 578526 │ 597263 │ 627060 │ '30-30' │ '3-4'     │ 22      │ '15.0' │
│ 7       │ 'SHIBUYA'   │ 'expert'       │ 30500000 │ 568840 │ 591670 │ 621713 │ '30-30' │ '3-4'     │ 52      │ '15.0' │
│ 8       │ 'IKEBUKURO' │ 'beginner'     │ 210000   │ 41427  │ 44564  │ 46600  │ '19-22' │ '0-0'     │ 5       │ '15.1' │
│ 9       │ 'IKEBUKURO' │ 'intermediate' │ 4300000  │ 474374 │ 493849 │ 532289 │ '30-30' │ '4-5'     │ 9       │ '14.9' │
│ 10      │ 'IKEBUKURO' │ 'advanced'     │ 10100000 │ 475398 │ 483416 │ 495928 │ '30-30' │ '3-3'     │ 21      │ '14.9' │
│ 11      │ 'IKEBUKURO' │ 'expert'       │ 29700000 │ 579038 │ 590312 │ 596159 │ '30-30' │ '3-3'     │ 51      │ '14.6' │
│ 12      │ 'ROPPONGI'  │ 'beginner'     │ 200000   │ 39800  │ 40841  │ 42722  │ '17-19' │ '0-0'     │ 5       │ '15.7' │
│ 13      │ 'ROPPONGI'  │ 'intermediate' │ 2000000  │ 205527 │ 226979 │ 257824 │ '19-22' │ '0-0'     │ 9       │ '15.1' │
│ 14      │ 'ROPPONGI'  │ 'advanced'     │ 12200000 │ 456834 │ 578826 │ 676949 │ '30-30' │ '0-1'     │ 22      │ '15.0' │
│ 15      │ 'ROPPONGI'  │ 'expert'       │ 44000000 │ 666118 │ 827345 │ 918177 │ '30-30' │ '3-5'     │ 54      │ '15.5' │
│ 16      │ 'AKIHABARA' │ 'beginner'     │ 210000   │ 44761  │ 45462  │ 46541  │ '20-20' │ '0-0'     │ 5       │ '14.8' │
│ 17      │ 'AKIHABARA' │ 'intermediate' │ 4100000  │ 451223 │ 469995 │ 502438 │ '30-30' │ '4-5'     │ 9       │ '15.0' │
│ 18      │ 'AKIHABARA' │ 'advanced'     │ 5300000  │ 241396 │ 253763 │ 266286 │ '21-26' │ '0-0'     │ 21      │ '14.9' │
│ 19      │ 'AKIHABARA' │ 'expert'       │ 15800000 │ 304890 │ 308398 │ 310681 │ '26-26' │ '0-0'     │ 52      │ '14.9' │
│ 20      │ 'KAWASAKI'  │ 'beginner'     │ 190000   │ 39804  │ 40745  │ 41646  │ '18-19' │ '0-0'     │ 5       │ '14.9' │
│ 21      │ 'KAWASAKI'  │ 'intermediate' │ 3000000  │ 318682 │ 332846 │ 356336 │ '23-25' │ '0-0'     │ 10      │ '15.5' │
│ 22      │ 'KAWASAKI'  │ 'advanced'     │ 4700000  │ 219313 │ 222617 │ 226631 │ '19-20' │ '0-0'     │ 22      │ '15.0' │
│ 23      │ 'KAWASAKI'  │ 'expert'       │ 27700000 │ 523888 │ 536284 │ 548637 │ '26-30' │ '0-1'     │ 52      │ '15.0' │
│ 24      │ 'YOKOHAMA'  │ 'beginner'     │ 210000   │ 45205  │ 46476  │ 47898  │ '21-21' │ '0-0'     │ 5       │ '14.5' │
│ 25      │ 'YOKOHAMA'  │ 'intermediate' │ 3600000  │ 405911 │ 454451 │ 542877 │ '30-30' │ '4-5'     │ 8       │ '13.6' │
│ 26      │ 'YOKOHAMA'  │ 'advanced'     │ 8100000  │ 306635 │ 374271 │ 425331 │ '26-29' │ '0-0'     │ 22      │ '15.4' │
│ 27      │ 'YOKOHAMA'  │ 'expert'       │ 28000000 │ 486159 │ 542074 │ 583469 │ '30-30' │ '0-3'     │ 52      │ '15.0' │
└─────────┴─────────────┴────────────────┴──────────┴────────┴────────┴────────┴─────────┴───────────┴─────────┴────────┘
